#YY,MM,DD,hh,mm,WDIR WSPD GST,WVHT,DPD,APD,MWD   PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT m/s  m/s,m,sec,sec,degT   hPa,degC,degC,degC,mi,ft
2022,1,2,5,56,999 99.0 99.0,1.44,5.88,4.63,165 9999.0,999,9.4,999,99,99
2022,1,2,6,26,999 99.0 99.0,1.5,6.25,4.88,162 9999.0,999,9.4,999,99,99
2022,1,2,6,56,999 99.0 99.0,1.5,5.56,4.84,166 9999.0,999,9.4,999,99,99
2022,1,2,7,26,999 99.0 99.0,1.45,5.56,4.82,169 9999.0,999,9.4,999,99,99
2022,1,2,7,56,999 99.0 99.0,1.46,6.25,4.81,159 9999.0,999,9.4,999,99,99
2022,1,2,8,26,999 99.0 99.0,1.39,6.67,4.78,158 9999.0,999,9.5,999,99,99
2022,1,2,8,56,999 99.0 99.0,1.39,6.67,4.89,154 9999.0,999,9.4,999,99,99
2022,1,2,9,26,999 99.0 99.0,1.48,5.88,5.26,166 9999.0,999,9.4,999,99,99
2022,1,2,9,56,999 99.0 99.0,1.43,6.25,5.09,163 9999.0,999,9.4,999,99,99
2022,1,2,10,26,999 99.0 99.0,1.29,6.67,5.14,159 9999.0,999,9.5,999,99,99
2022,1,2,10,56,999 99.0 99.0,1.33,6.25,5.13,165 9999.0,999,9.5,999,99,99
2022,1,2,11,26,999 99.0 99.0,1.27,6.25,5.4,162 9999.0,999,9.5,999,99,99
2022,1,2,11,56,999 99.0 99.0,1.23,7.14,5.42,158 9999.0,999,9.6,999,99,99
2022,1,2,12,26,999 99.0 99.0,1.26,5.56,5.39,169 9999.0,999,9.6,999,99,99
2022,1,2,12,56,999 99.0 99.0,1.15,6.67,5.36,159 9999.0,999,9.7,999,99,99
2022,1,2,13,26,999 99.0 99.0,1.09,5.88,5.29,162 9999.0,999,9.7,999,99,99
2022,1,2,13,56,999 99.0 99.0,1.1,6.67,5.23,155 9999.0,999,9.6,999,99,99
2022,1,2,14,26,999 99.0 99.0,1.04,14.29,5.15,82 9999.0,999,9.6,999,99,99
2022,1,2,14,56,999 99.0 99.0,1.06,6.67,4.98,158 9999.0,999,9.6,999,99,99
2022,1,2,15,26,999 99.0 99.0,1.1,7.14,4.85,152 9999.0,999,9.6,999,99,99
2022,1,2,15,56,999 99.0 99.0,1.11,6.67,4.95,161 9999.0,999,9.6,999,99,99
2022,1,2,16,26,999 99.0 99.0,1.17,7.69,4.9,148 9999.0,999,9.6,999,99,99
2022,1,2,16,56,999 99.0 99.0,1.12,7.69,4.79,147 9999.0,999,9.6,999,99,99
2022,1,2,17,26,999 99.0 99.0,1.04,5.88,4.75,162 9999.0,999,9.6,999,99,99
2022,1,2,17,56,999 99.0 99.0,1.1,6.25,5.07,159 9999.0,999,9.6,999,99,99
2022,1,2,18,26,999 99.0 99.0,1.09,7.14,5,154 9999.0,999,9.6,999,99,99
2022,1,2,18,56,999 99.0 99.0,1.11,7.14,4.97,156 9999.0,999,9.6,999,99,99
2022,1,2,19,26,999 99.0 99.0,1.11,6.25,5,162 9999.0,999,9.6,999,99,99
2022,1,2,19,56,999 99.0 99.0,1.1,6.67,4.89,159 9999.0,999,9.6,999,99,99
2022,1,2,20,26,999 99.0 99.0,1.19,6.67,5.07,158 9999.0,999,9.6,999,99,99
2022,1,2,20,56,999 99.0 99.0,1.11,5.88,4.87,165 9999.0,999,9.6,999,99,99
2022,1,2,21,26,999 99.0 99.0,1.13,5.26,4.99,169 9999.0,999,9.6,999,99,99
2022,1,2,21,56,999 99.0 99.0,1.14,7.69,5.09,158 9999.0,999,9.6,999,99,99
2022,1,2,22,26,999 99.0 99.0,1.07,6.67,5.07,162 9999.0,999,9.6,999,99,99
2022,1,2,22,56,999 99.0 99.0,1.05,7.69,5.19,152 9999.0,999,9.6,999,99,99
2022,1,2,23,26,999 99.0 99.0,1.07,8.33,5.27,152 9999.0,999,9.6,999,99,99
2022,1,2,23,56,999 99.0 99.0,1.02,7.69,5.39,158 9999.0,999,9.6,999,99,99
2022,1,3,0,26,999 99.0 99.0,1.02,6.25,5.57,163 9999.0,999,9.6,999,99,99
2022,1,3,0,56,999 99.0 99.0,1.01,7.69,5.42,154 9999.0,999,9.6,999,99,99
2022,1,3,1,26,999 99.0 99.0,0.96,6.25,5.33,155 9999.0,999,9.6,999,99,99
2022,1,3,1,56,999 99.0 99.0,0.98,7.69,5.57,147 9999.0,999,9.6,999,99,99
2022,1,3,2,26,999 99.0 99.0,0.96,5.56,5.57,156 9999.0,999,9.6,999,99,99
2022,1,3,2,56,999 99.0 99.0,0.9,8.33,5.58,149 9999.0,999,9.6,999,99,99
2022,1,3,3,26,999 99.0 99.0,0.97,7.69,5.68,154 9999.0,999,9.5,999,99,99
2022,1,3,3,56,999 99.0 99.0,0.9,8.33,5.66,154 9999.0,999,9.5,999,99,99
2022,1,3,4,26,999 99.0 99.0,0.86,6.67,5.73,156 9999.0,999,9.5,999,99,99
2022,1,3,4,56,999 99.0 99.0,0.82,6.67,5.69,161 9999.0,999,9.5,999,99,99
2022,1,3,5,26,999 99.0 99.0,0.88,5.56,4.48,162 9999.0,999,9.5,999,99,99
2022,1,3,5,56,999 99.0 99.0,1,3.12,4.01,37 9999.0,999,9.5,999,99,99
2022,1,3,6,26,999 99.0 99.0,1.14,3.57,4.06,38 9999.0,999,9.5,999,99,99
2022,1,3,6,56,999 99.0 99.0,1.29,4,4.11,51 9999.0,999,9.5,999,99,99
2022,1,3,7,26,999 99.0 99.0,1.42,4.55,4.12,48 9999.0,999,9.5,999,99,99
2022,1,3,7,56,999 99.0 99.0,1.55,4.76,4.26,44 9999.0,999,9.5,999,99,99
2022,1,3,8,26,999 99.0 99.0,1.59,4.76,4.31,40 9999.0,999,9.5,999,99,99
2022,1,3,8,56,999 99.0 99.0,1.63,4.76,4.38,41 9999.0,999,9.5,999,99,99
2022,1,3,9,26,999 99.0 99.0,1.6,5,4.3,37 9999.0,999,9.6,999,99,99
2022,1,3,9,56,999 99.0 99.0,1.72,5,4.35,47 9999.0,999,9.6,999,99,99
2022,1,3,10,26,999 99.0 99.0,1.96,5.56,4.76,52 9999.0,999,9.6,999,99,99
2022,1,3,10,56,999 99.0 99.0,2.27,6.25,5.03,52 9999.0,999,9.6,999,99,99
2022,1,3,11,26,999 99.0 99.0,2.13,6.25,4.96,54 9999.0,999,9.6,999,99,99
2022,1,3,11,56,999 99.0 99.0,2.14,6.67,5,61 9999.0,999,9.6,999,99,99
2022,1,3,12,26,999 99.0 99.0,2.29,6.25,5.06,51 9999.0,999,9.6,999,99,99
2022,1,3,12,56,999 99.0 99.0,2.33,6.25,5.23,55 9999.0,999,9.6,999,99,99
2022,1,3,13,26,999 99.0 99.0,2.47,6.67,5.29,52 9999.0,999,9.5,999,99,99
2022,1,3,13,56,999 99.0 99.0,2.65,6.67,5.51,55 9999.0,999,9.5,999,99,99
2022,1,3,14,26,999 99.0 99.0,2.73,7.14,5.51,62 9999.0,999,9.4,999,99,99
2022,1,3,14,56,999 99.0 99.0,2.64,6.67,5.51,61 9999.0,999,9.5,999,99,99
2022,1,3,15,26,999 99.0 99.0,2.85,7.14,5.6,64 9999.0,999,9.4,999,99,99
2022,1,3,15,56,999 99.0 99.0,3.08,7.14,5.62,57 9999.0,999,9.3,999,99,99
2022,1,3,16,26,999 99.0 99.0,3.3,7.14,5.82,64 9999.0,999,9.3,999,99,99
2022,1,3,16,56,999 99.0 99.0,3.33,7.69,5.8,64 9999.0,999,9.4,999,99,99
2022,1,3,17,26,999 99.0 99.0,3.55,7.14,5.98,55 9999.0,999,9.4,999,99,99
2022,1,3,17,56,999 99.0 99.0,3.41,8.33,5.88,75 9999.0,999,9.4,999,99,99
2022,1,3,18,26,999 99.0 99.0,3.13,8.33,5.87,69 9999.0,999,9.3,999,99,99
2022,1,3,18,56,999 99.0 99.0,3.06,8.33,5.9,72 9999.0,999,9.3,999,99,99
2022,1,3,19,26,999 99.0 99.0,3.18,9.09,6.15,71 9999.0,999,9.2,999,99,99
2022,1,3,19,56,999 99.0 99.0,3.04,9.09,6.38,80 9999.0,999,9.2,999,99,99
2022,1,3,20,26,999 99.0 99.0,2.69,8.33,5.88,72 9999.0,999,9.2,999,99,99
2022,1,3,20,56,999 99.0 99.0,2.94,9.09,5.86,72 9999.0,999,9.2,999,99,99
2022,1,3,21,26,999 99.0 99.0,2.77,9.09,5.81,79 9999.0,999,9.2,999,99,99
2022,1,3,21,56,999 99.0 99.0,2.82,9.09,5.94,76 9999.0,999,9.2,999,99,99
2022,1,3,22,26,999 99.0 99.0,2.79,9.09,5.95,76 9999.0,999,9.3,999,99,99
2022,1,3,22,56,999 99.0 99.0,2.41,9.88,5.61,73 9999.0,999,9.2,999,99,99
